transaction_id,date,year_month,product_id,customer_id,category,brand_tier,channel,customer_segment,base_cost,listed_price,competitor_price,discount_pct,units_sold,revenue,gross_profit,margin_pct,price_gap_pct,baseline_elasticity,pricing_signal
T000019,2025-02-11,2025-02,P089,C01761,Electronics,Core,Online,Loyal,767.79,1043.23,1286.82,10.5,56,58420.88,15424.64,26.4,-18.93,-2.483,Maintain
T000020,2025-08-08,2025-08,P030,C03532,Sports,Value,Marketplace,New,341.85,451.96,481.65,2.8,48,21694.08,5285.28,24.36,-6.16,-0.771,Maintain
T000021,2025-04-19,2025-04,P118,C00139,Sports,Core,Online,Returning,3585.24,5753.42,5656.06,4.0,182,1047122.44,394608.76,37.69,1.72,-1.286,Maintain
T000022,2025-03-20,2025-03,P090,C03208,Beauty,Core,Marketplace,Returning,2401.9,3516.01,3775.53,8.6,230,808682.3,256245.3,31.69,-6.87,-1.275,Increase
T000023,2025-07-08,2025-07,P114,C01713,Beauty,Core,Online,New,2783.18,3984.19,5335.19,10.8,333,1326735.27,399936.33,30.14,-25.32,-2.312,Maintain
T000024,2025-06-01,2025-06,P114,C03999,Beauty,Core,Online,New,2783.18,4761.32,4844.53,7.7,144,685630.08,284852.16,41.55,-1.72,-2.312,Maintain
T000025,2025-08-21,2025-08,P014,C03263,Fashion,Value,Online,Price Sensitive,1724.2,2342.09,2812.28,6.7,78,182683.02,48195.42,26.38,-16.72,-1.924,Maintain
T000026,2025-04-26,2025-04,P056,C04236,Sports,Premium,Mobile App,Returning,440.87,585.99,569.02,0.0,139,81452.61,20171.68,24.76,2.98,-2.082,Maintain
T000027,2025-10-28,2025-10,P090,C00580,Beauty,Core,Mobile App,Returning,2401.9,3237.4,3855.94,11.5,348,1126615.2,290754.0,25.81,-16.04,-1.275,Increase
T000028,2025-01-29,2025-01,P002,C00852,Home & Kitchen,Core,Mobile App,Returning,3011.85,3532.38,4517.86,13.9,252,890159.76,131173.56,14.74,-21.81,-2.343,Maintain
T000029,2025-11-11,2025-11,P055,C04065,Sports,Premium,Marketplace,New,949.58,1031.25,1265.32,14.7,228,235125.0,18620.76,7.92,-18.5,-2.538,Maintain
T000030,2025-01-11,2025-01,P083,C01757,Fashion,Core,Mobile App,Returning,2378.15,4023.1,4061.25,9.1,70,281617.0,115146.5,40.89,-0.94,-1.021,Maintain
T000031,2025-09-26,2025-09,P096,C03671,Sports,Core,Online,Returning,3390.68,5396.02,5513.25,3.8,41,221236.82,82218.94,37.16,-2.13,-2.205,Maintain
T000032,2025-05-07,2025-05,P050,C03091,Electronics,Value,Mobile App,Price Sensitive,4299.82,6207.64,5690.84,5.7,114,707670.96,217491.48,30.73,9.08,-0.452,Maintain
T000033,2025-05-20,2025-05,P104,C02249,Fashion,Core,Online,Loyal,4311.4,6029.07,7069.84,9.1,211,1272133.77,362428.37,28.49,-14.72,-1.952,Maintain
T000034,2025-01-07,2025-01,P081,C00203,Sports,Premium,Mobile App,New,3553.97,4273.33,4291.39,7.9,197,841846.01,141713.92,16.83,-0.42,-0.77,Maintain
T000035,2025-09-14,2025-09,P006,C00333,Fashion,Premium,Marketplace,Loyal,2349.46,3850.36,3947.83,2.1,36,138612.96,54032.4,38.98,-2.47,-1.7,Maintain
T000036,2025-03-02,2025-03,P034,C03227,Home & Kitchen,Core,Online,Returning,2604.65,3930.08,3755.68,0.0,80,314406.4,106034.4,33.73,4.64,-1.125,Maintain
T000037,2025-08-29,2025-08,P113,C00439,Home & Kitchen,Core,Online,New,4356.49,6293.01,7122.09,4.1,174,1094983.74,336954.48,30.77,-11.64,-2.344,Maintain
T000038,2025-09-22,2025-09,P001,C00022,Sports,Premium,Mobile App,New,2732.42,3932.14,4358.29,6.1,218,857206.52,261538.96,30.51,-9.78,-0.598,Increase
T000039,2025-11-05,2025-11,P013,C00988,Sports,Core,Online,New,2719.51,4376.74,5339.99,10.2,83,363269.42,137550.09,37.86,-18.04,-1.817,Maintain
T000040,2025-09-16,2025-09,P042,C04114,Fashion,Value,Online,Loyal,4143.05,6107.75,6834.39,5.1,45,274848.75,88411.5,32.17,-10.63,-0.625,Increase
T000041,2025-04-21,2025-04,P120,C02820,Sports,Core,Mobile App,Price Sensitive,713.86,1164.81,1410.77,6.2,204,237621.24,91993.8,38.71,-17.43,-1.715,Maintain
T000042,2025-09-27,2025-09,P085,C03232,Electronics,Premium,Online,Loyal,309.23,505.64,557.59,8.8,218,110229.52,42817.38,38.84,-9.32,-2.018,Maintain
T000043,2025-10-29,2025-10,P018,C02935,Electronics,Value,Online,New,2299.79,3250.15,3753.7,19.0,153,497272.95,145405.08,29.24,-13.41,-1.659,Maintain
T000044,2025-04-26,2025-04,P048,C02545,Home & Kitchen,Core,Mobile App,Returning,3685.07,6388.48,7620.38,6.8,46,293870.08,124356.86,42.32,-16.17,-0.801,Increase
T000045,2025-02-15,2025-02,P113,C01154,Home & Kitchen,Core,Online,Returning,4356.49,6466.31,7191.55,0.0,138,892350.78,291155.16,32.63,-10.08,-2.344,Maintain
T000046,2025-11-21,2025-11,P027,C01931,Beauty,Core,Online,Returning,1659.17,2266.63,2634.28,3.2,263,596123.69,159761.98,26.8,-13.96,-1.057,Increase
T000047,2025-02-23,2025-02,P070,C02452,Home & Kitchen,Value,Marketplace,Returning,1365.46,1754.4,2149.18,20.7,195,342108.0,75843.3,22.17,-18.37,-0.878,Maintain
T000048,2025-08-05,2025-08,P056,C04447,Sports,Premium,Online,New,440.87,472.68,607.12,18.0,222,104934.96,7061.82,6.73,-22.14,-2.082,Maintain
T000049,2025-03-28,2025-03,P092,C04047,Sports,Value,Online,New,2719.75,4368.3,5627.95,14.6,41,179100.3,67590.55,37.74,-22.38,-0.699,Increase
T000050,2025-02-15,2025-02,P091,C03315,Electronics,Core,Marketplace,Returning,3200.62,4203.23,4329.6,12.9,46,193348.58,46120.06,23.85,-2.92,-2.509,Maintain
T000051,2025-10-11,2025-10,P100,C03660,Fashion,Premium,Online,Returning,1939.71,2409.38,2672.35,13.0,261,628848.18,122583.87,19.49,-9.84,-1.232,Maintain
T000052,2025-02-22,2025-02,P015,C03633,Home & Kitchen,Value,Marketplace,Loyal,2761.39,4744.96,4761.8,6.3,181,858837.76,359026.17,41.8,-0.35,-2.261,Maintain
T000053,2025-09-02,2025-09,P055,C03005,Sports,Premium,Mobile App,Loyal,949.58,1061.63,1297.64,14.1,195,207017.85,21849.75,10.55,-18.19,-2.538,Maintain
T000054,2025-09-10,2025-09,P084,C03715,Electronics,Core,Mobile App,Loyal,861.56,1244.06,1411.61,14.3,129,160483.74,49342.5,30.75,-11.87,-2.185,Maintain
T000055,2025-01-22,2025-01,P051,C00330,Electronics,Premium,Online,Price Sensitive,1486.4,2289.23,2374.73,13.9,77,176270.71,61817.91,35.07,-3.6,-1.169,Maintain
T000056,2025-03-05,2025-03,P081,C00099,Sports,Premium,Online,Loyal,3553.97,4591.89,4166.9,3.8,183,840315.87,189939.36,22.6,10.2,-0.77,Maintain
T000057,2025-10-17,2025-10,P077,C02000,Home & Kitchen,Core,Marketplace,Loyal,2797.38,3689.1,4520.44,5.7,197,726752.7,175668.84,24.17,-18.39,-2.331,Maintain
T000058,2025-07-05,2025-07,P045,C00247,Fashion,Core,Online,Loyal,2608.12,3378.21,3705.36,3.5,153,516866.13,117823.77,22.8,-8.83,-0.456,Maintain
T000059,2025-02-14,2025-02,P013,C01528,Sports,Core,Mobile App,Loyal,2719.51,3982.45,5619.54,15.0,76,302666.2,95983.44,31.71,-29.13,-1.817,Maintain
T000060,2025-12-28,2025-12,P117,C00893,Sports,Core,Marketplace,Returning,2236.37,3570.82,3842.19,10.1,327,1167658.14,436365.15,37.37,-7.06,-1.68,Maintain
T000061,2025-04-07,2025-04,P100,C04310,Fashion,Premium,Mobile App,Returning,1939.71,2419.44,2812.76,10.7,263,636312.72,126168.99,19.83,-13.98,-1.232,Maintain
T000062,2025-01-02,2025-01,P108,C02949,Home & Kitchen,Core,Online,Returning,2609.59,3235.41,4541.6,12.0,254,821794.14,158958.28,19.34,-28.76,-0.578,Maintain
T000063,2025-12-04,2025-12,P036,C00189,Electronics,Core,Mobile App,Returning,3107.02,4522.26,3705.75,0.0,122,551715.72,172659.28,31.29,22.03,-1.623,Decrease
T000064,2025-01-07,2025-01,P038,C02808,Beauty,Core,Mobile App,Returning,3052.55,4893.82,5600.14,14.2,147,719391.54,270666.69,37.62,-12.61,-1.965,Maintain
T000065,2025-07-21,2025-07,P039,C03297,Electronics,Premium,Online,Price Sensitive,3339.73,4074.52,4640.76,4.2,81,330036.12,59517.99,18.03,-12.2,-1.614,Maintain
T000066,2025-12-29,2025-12,P004,C01464,Sports,Core,Marketplace,Loyal,2017.18,2969.86,3180.97,4.9,167,495966.62,159097.56,32.08,-6.64,-2.411,Maintain
T000067,2025-07-30,2025-07,P021,C03973,Sports,Value,Online,Returning,2318.3,3846.95,4499.93,2.1,306,1177166.7,467766.9,39.74,-14.51,-1.411,Maintain
T000068,2025-08-02,2025-08,P037,C04379,Electronics,Core,Marketplace,Returning,1445.24,1942.12,2285.67,8.6,167,324334.04,82978.96,25.58,-15.03,-0.825,Increase
T000069,2025-05-22,2025-05,P119,C04414,Home & Kitchen,Core,Online,Loyal,325.81,589.98,688.29,7.5,341,201183.18,90081.97,44.78,-14.28,-1.236,Increase
T000070,2025-02-16,2025-02,P025,C00419,Sports,Premium,Online,Loyal,2262.33,3582.08,4197.62,0.0,241,863281.28,318059.75,36.84,-14.66,-1.791,Maintain
T000071,2025-07-29,2025-07,P061,C02021,Sports,Core,Mobile App,Loyal,4035.87,7628.74,7749.63,0.0,212,1617292.88,761688.44,47.1,-1.56,-1.189,Maintain
T000072,2025-11-24,2025-11,P066,C03496,Beauty,Core,Online,New,3062.06,4805.11,4896.36,6.6,106,509341.66,184763.3,36.27,-1.86,-0.877,Maintain
T000073,2025-02-03,2025-02,P044,C01993,Home & Kitchen,Value,Online,Price Sensitive,409.0,583.27,673.63,13.7,68,39662.36,11850.36,29.88,-13.41,-2.362,Maintain
T000074,2025-11-18,2025-11,P111,C02164,Home & Kitchen,Core,Online,Price Sensitive,846.44,1461.8,1943.21,13.0,156,228040.8,95996.16,42.1,-24.77,-1.731,Maintain
T000075,2025-06-01,2025-06,P012,C01478,Fashion,Premium,Marketplace,Price Sensitive,4181.76,6262.72,7820.12,15.0,57,356975.04,118614.72,33.23,-19.92,-2.018,Maintain
T000076,2025-07-15,2025-07,P105,C01885,Sports,Core,Online,Loyal,1467.4,2781.09,2742.99,6.6,86,239173.74,112977.34,47.24,1.39,-1.357,Maintain
T000077,2025-03-02,2025-03,P090,C03126,Beauty,Core,Mobile App,New,2401.9,3879.78,4278.33,5.5,222,861311.16,328089.36,38.09,-9.32,-1.275,Increase
T000078,2025-08-15,2025-08,P037,C00116,Electronics,Core,Mobile App,Price Sensitive,1445.24,1964.65,2251.73,7.2,135,265227.75,70120.35,26.44,-12.75,-0.825,Increase
T000079,2025-03-08,2025-03,P093,C03598,Home & Kitchen,Core,Mobile App,New,1099.05,1443.52,1716.62,13.6,335,483579.2,115397.45,23.86,-15.91,-1.074,Maintain
T000080,2025-04-10,2025-04,P052,C03276,Electronics,Value,Online,New,2438.99,3642.26,5032.67,19.3,190,692029.4,228621.3,33.04,-27.63,-1.202,Increase
T000081,2025-09-21,2025-09,P117,C00624,Sports,Core,Online,Loyal,2236.37,3991.92,3982.59,4.8,229,914149.68,402020.95,43.98,0.23,-1.68,Maintain
T000082,2025-01-19,2025-01,P005,C03473,Electronics,Core,Marketplace,Returning,426.86,568.6,633.51,6.1,66,37527.6,9354.84,24.93,-10.25,-1.186,Maintain
T000083,2025-06-13,2025-06,P004,C02347,Sports,Core,Mobile App,Loyal,2017.18,2876.28,3034.91,8.2,171,491843.88,146906.1,29.87,-5.23,-2.411,Maintain
T000084,2025-08-06,2025-08,P066,C01436,Beauty,Core,Marketplace,Loyal,3062.06,4429.61,4956.11,6.1,105,465109.05,143592.75,30.87,-10.62,-0.877,Increase
T000085,2025-02-18,2025-02,P112,C02050,Electronics,Value,Mobile App,New,2031.24,3025.29,3241.34,3.9,213,644386.77,211732.65,32.86,-6.67,-1.581,Maintain
T000086,2025-04-18,2025-04,P008,C02327,Sports,Core,Marketplace,Loyal,864.23,1032.96,1029.2,7.1,274,283031.04,46232.02,16.33,0.37,-1.157,Maintain
T000087,2025-05-06,2025-05,P094,C00948,Home & Kitchen,Premium,Marketplace,Price Sensitive,3667.53,6292.61,6256.91,2.5,56,352386.16,147004.48,41.72,0.57,-2.228,Maintain
T000088,2025-08-31,2025-08,P113,C02729,Home & Kitchen,Core,Online,Price Sensitive,4356.49,5285.37,6957.42,13.1,221,1168066.77,205282.48,17.57,-24.03,-2.344,Maintain
T000089,2025-12-23,2025-12,P059,C02832,Electronics,Core,Marketplace,New,4039.63,4656.18,5611.79,18.3,276,1285105.68,170167.8,13.24,-17.03,-2.174,Maintain
T000090,2025-11-02,2025-11,P105,C01655,Sports,Core,Online,Returning,1467.4,2788.38,2575.53,6.0,95,264896.1,125493.1,47.37,8.26,-1.357,Maintain
T000091,2025-03-11,2025-03,P091,C02073,Electronics,Core,Online,New,3200.62,4263.08,4170.43,19.6,64,272837.12,67997.44,24.92,2.22,-2.509,Maintain
T000092,2025-01-07,2025-01,P026,C02771,Electronics,Value,Online,Loyal,1384.65,2707.29,2441.26,7.2,63,170559.27,83326.32,48.85,10.9,-0.479,Maintain
T000093,2025-01-19,2025-01,P103,C02267,Home & Kitchen,Premium,Online,Loyal,3067.17,3993.34,3627.37,3.1,44,175706.96,40751.48,23.19,10.09,-0.566,Maintain
T000094,2025-08-06,2025-08,P084,C01954,Electronics,Core,Online,Returning,861.56,1264.31,1569.87,12.8,107,135281.17,43094.25,31.86,-19.46,-2.185,Maintain
T000095,2025-02-27,2025-02,P002,C04303,Home & Kitchen,Core,Mobile App,Returning,3011.85,4118.79,4520.44,1.5,141,580749.39,156078.54,26.88,-8.89,-2.343,Maintain
T000096,2025-03-26,2025-03,P069,C03952,Electronics,Core,Mobile App,Loyal,3423.86,5278.48,6278.54,12.4,403,2127227.44,747411.86,35.14,-15.93,-2.477,Maintain
T000097,2025-11-06,2025-11,P079,C01709,Beauty,Core,Marketplace,Loyal,1084.85,1827.96,1630.38,9.8,187,341828.52,138961.57,40.65,12.12,-0.998,Maintain
T000098,2025-11-15,2025-11,P097,C03234,Home & Kitchen,Value,Online,Returning,807.0,1293.91,1710.68,5.2,105,135860.55,51125.55,37.63,-24.36,-0.493,Increase
T000099,2025-11-03,2025-11,P093,C03646,Home & Kitchen,Core,Online,New,1099.05,1817.13,1673.13,4.4,245,445196.85,175929.6,39.52,8.61,-1.074,Maintain
T000100,2025-04-03,2025-04,P058,C00498,Beauty,Premium,Mobile App,Returning,4467.6,5763.95,5671.66,1.9,223,1285360.85,289086.05,22.49,1.63,-0.93,Maintain
T000101,2025-08-15,2025-08,P036,C02664,Electronics,Core,Mobile App,Price Sensitive,3107.02,3571.29,3919.85,15.2,134,478552.86,62212.18,13.0,-8.89,-1.623,Maintain
T000102,2025-08-11,2025-08,P024,C03599,Fashion,Value,Marketplace,Returning,2679.84,3608.8,4294.17,6.4,74,267051.2,68743.04,25.74,-15.96,-1.569,Maintain
T000103,2025-03-09,2025-03,P011,C00259,Home & Kitchen,Core,Online,Loyal,975.02,1629.29,1735.47,10.2,109,177592.61,71315.43,40.16,-6.12,-0.961,Increase
T000104,2025-07-22,2025-07,P077,C01519,Home & Kitchen,Core,Online,Returning,2797.38,3919.92,4256.4,7.9,205,803583.6,230120.7,28.64,-7.91,-2.331,Maintain
T000105,2025-07-11,2025-07,P116,C03591,Fashion,Core,Marketplace,Returning,3668.53,4756.68,5287.37,6.5,88,418587.84,95757.2,22.88,-10.04,-1.945,Maintain
T000106,2025-05-25,2025-05,P010,C04211,Home & Kitchen,Core,Online,New,2747.49,4332.03,4620.23,10.3,53,229597.59,83980.62,36.58,-6.24,-0.669,Increase
T000107,2025-10-02,2025-10,P085,C04466,Electronics,Premium,Mobile App,Returning,309.23,494.34,532.82,11.6,229,113203.86,42390.19,37.45,-7.22,-2.018,Maintain
T000108,2025-09-05,2025-09,P071,C02716,Electronics,Core,Online,New,4231.46,6021.51,6272.43,9.0,104,626237.04,186165.2,29.73,-4.0,-0.605,Maintain
T000109,2025-07-14,2025-07,P021,C00192,Sports,Value,Online,Returning,2318.3,3538.73,4402.7,6.7,345,1220861.85,421048.35,34.49,-19.62,-1.411,Maintain
T000110,2025-09-22,2025-09,P026,C00125,Electronics,Value,Marketplace,Returning,1384.65,2526.07,2630.06,0.4,48,121251.36,54788.16,45.19,-3.95,-0.479,Maintain
T000111,2025-10-06,2025-10,P035,C03651,Beauty,Core,Online,Price Sensitive,711.45,1075.17,942.26,3.8,160,172027.2,58195.2,33.83,14.11,-2.574,Decrease
T000112,2025-07-26,2025-07,P083,C03305,Fashion,Core,Online,Returning,2378.15,4039.69,3952.67,5.9,81,327214.89,134584.74,41.13,2.2,-1.021,Maintain
T000113,2025-04-08,2025-04,P036,C00873,Electronics,Core,Mobile App,New,3107.02,4131.36,3799.88,8.1,116,479237.76,118823.44,24.79,8.72,-1.623,Decrease
T000114,2025-10-04,2025-10,P100,C00589,Fashion,Premium,Online,New,1939.71,2807.03,2826.36,0.0,176,494037.28,152648.32,30.9,-0.68,-1.232,Maintain
T000115,2025-09-19,2025-09,P045,C00656,Fashion,Core,Online,Returning,2608.12,3051.96,3594.4,12.3,136,415066.56,60362.24,14.54,-15.09,-0.456,Maintain
T000116,2025-12-25,2025-12,P014,C03948,Fashion,Value,Mobile App,Loyal,1724.2,2226.3,2987.57,10.2,203,451938.9,101926.3,22.55,-25.48,-1.924,Maintain
T000117,2025-02-24,2025-02,P012,C03441,Fashion,Premium,Online,Loyal,4181.76,7025.38,7609.06,3.9,57,400446.66,162086.34,40.48,-7.67,-2.018,Maintain
T000118,2025-06-03,2025-06,P049,C04268,Sports,Core,Mobile App,Loyal,1597.84,2982.1,3307.55,1.6,86,256460.6,119046.36,46.42,-9.84,-2.371,Maintain
T000119,2025-12-04,2025-12,P049,C00512,Sports,Core,Online,Price Sensitive,1597.84,3036.66,3032.0,3.2,64,194346.24,92084.48,47.38,0.15,-2.371,Maintain
T000120,2025-07-07,2025-07,P089,C03129,Electronics,Core,Online,Returning,767.79,1181.83,1207.2,0.0,49,57909.67,20287.96,35.03,-2.1,-2.483,Maintain
T000121,2025-12-11,2025-12,P058,C04157,Beauty,Premium,Online,Returning,4467.6,5383.61,5689.11,5.6,301,1620466.61,275719.01,17.01,-5.37,-0.93,Maintain
T000122,2025-01-05,2025-01,P020,C02398,Sports,Core,Marketplace,New,601.6,943.56,852.95,6.7,111,104735.16,37957.56,36.24,10.62,-1.031,Maintain
T000123,2025-01-13,2025-01,P026,C03484,Electronics,Value,Online,New,1384.65,2163.23,2435.75,14.4,64,138446.72,49829.12,35.99,-11.19,-0.479,Increase
T000124,2025-10-18,2025-10,P068,C02710,Home & Kitchen,Core,Marketplace,Returning,651.48,746.14,1006.45,11.3,194,144751.16,18364.04,12.69,-25.86,-0.774,Maintain
T000125,2025-05-11,2025-05,P041,C00032,Home & Kitchen,Value,Online,Loyal,707.9,1121.23,1403.92,16.7,127,142396.21,52492.91,36.86,-20.14,-1.951,Maintain
T000126,2025-07-09,2025-07,P081,C01930,Sports,Premium,Online,Price Sensitive,3553.97,4363.1,4226.3,8.8,175,763542.5,141597.75,18.54,3.24,-0.77,Maintain
T000127,2025-06-06,2025-06,P111,C01177,Home & Kitchen,Core,Mobile App,Returning,846.44,1590.32,1760.25,1.6,95,151080.4,70668.6,46.78,-9.65,-1.731,Maintain
T000128,2025-05-29,2025-05,P043,C00377,Sports,Value,Online,Returning,1228.41,1373.26,1495.76,20.2,138,189509.88,19989.3,10.55,-8.19,-0.92,Maintain
T000129,2025-12-09,2025-12,P067,C02681,Beauty,Core,Mobile App,Price Sensitive,1838.05,2722.8,2798.9,5.8,246,669808.8,217648.5,32.49,-2.72,-2.087,Maintain
T000130,2025-02-04,2025-02,P100,C04180,Fashion,Premium,Marketplace,Loyal,1939.71,2996.56,2814.56,0.0,134,401539.04,141617.9,35.27,6.47,-1.232,Maintain
T000131,2025-10-09,2025-10,P026,C00243,Electronics,Value,Marketplace,Loyal,1384.65,2409.91,2461.04,9.5,66,159054.06,67667.16,42.54,-2.08,-0.479,Maintain
T000132,2025-11-21,2025-11,P062,C01482,Beauty,Value,Mobile App,Returning,4047.15,6076.7,7787.37,0.0,166,1008732.2,336905.3,33.4,-21.97,-2.522,Maintain
T000133,2025-08-28,2025-08,P037,C03014,Electronics,Core,Mobile App,Returning,1445.24,1952.79,2302.41,7.4,181,353454.99,91866.55,25.99,-15.18,-0.825,Increase
T000134,2025-05-25,2025-05,P076,C01408,Home & Kitchen,Core,Online,Loyal,1011.89,1364.39,1444.24,4.7,282,384757.98,99405.0,25.84,-5.53,-2.166,Maintain
T000135,2025-02-28,2025-02,P090,C00525,Beauty,Core,Mobile App,New,2401.9,3469.97,3891.32,11.7,233,808503.01,248860.31,30.78,-10.83,-1.275,Increase
T000136,2025-09-07,2025-09,P017,C00861,Beauty,Premium,Online,Returning,4323.88,5577.51,7305.49,14.7,310,1729028.1,388625.3,22.48,-23.65,-0.587,Maintain
T000137,2025-06-21,2025-06,P023,C00111,Fashion,Core,Online,New,4235.76,7524.54,9810.29,5.7,66,496619.64,217059.48,43.71,-23.3,-0.922,Increase
T000138,2025-02-24,2025-02,P003,C04466,Fashion,Value,Mobile App,Loyal,608.89,999.12,1099.71,5.2,289,288745.68,112776.47,39.06,-9.15,-2.348,Maintain
T000139,2025-05-12,2025-05,P002,C02212,Home & Kitchen,Core,Online,Returning,3011.85,3766.83,4391.79,13.3,211,794801.13,159300.78,20.04,-14.23,-2.343,Maintain
T000140,2025-12-17,2025-12,P007,C04242,Sports,Core,Mobile App,New,1651.91,2587.13,2892.01,2.6,347,897734.11,324521.34,36.15,-10.54,-0.935,Increase
T000141,2025-04-07,2025-04,P085,C03086,Electronics,Premium,Online,Returning,309.23,469.23,559.43,8.5,242,113553.66,38720.0,34.1,-16.12,-2.018,Maintain
T000142,2025-03-07,2025-03,P109,C01573,Electronics,Core,Online,New,2944.39,3759.37,4139.74,11.8,155,582702.35,126321.9,21.68,-9.19,-2.281,Maintain
T000143,2025-09-06,2025-09,P050,C04241,Electronics,Value,Mobile App,Loyal,4299.82,6438.47,5766.65,2.5,140,901385.8,299411.0,33.22,11.65,-0.452,Maintain
T000144,2025-03-14,2025-03,P106,C01171,Sports,Core,Mobile App,Price Sensitive,4180.44,7117.74,7371.57,5.9,124,882599.76,364225.2,41.27,-3.44,-1.095,Maintain
T000145,2025-12-02,2025-12,P088,C00813,Beauty,Core,Marketplace,Returning,3130.05,3566.69,4385.51,8.7,109,388769.21,47593.76,12.24,-18.67,-1.285,Maintain
T000146,2025-11-10,2025-11,P097,C03625,Home & Kitchen,Value,Online,New,807.0,1499.98,1765.44,17.3,97,145498.06,67219.06,46.2,-15.04,-0.493,Increase
T000147,2025-12-25,2025-12,P089,C02491,Electronics,Core,Online,Price Sensitive,767.79,1182.44,1308.09,0.0,47,55574.68,19488.55,35.07,-9.61,-2.483,Maintain
T000148,2025-11-30,2025-11,P024,C01902,Fashion,Value,Online,Price Sensitive,2679.84,3918.43,4399.53,7.0,70,274290.1,86701.3,31.61,-10.94,-1.569,Maintain
T000149,2025-03-30,2025-03,P063,C02647,Beauty,Core,Online,Loyal,2455.15,4214.03,4458.5,17.5,114,480399.42,200512.32,41.74,-5.48,-2.588,Maintain
T000150,2025-03-19,2025-03,P064,C04356,Sports,Core,Online,Returning,1592.7,2795.09,2856.33,14.8,126,352181.34,151501.14,43.02,-2.14,-2.489,Maintain
T000151,2025-05-06,2025-05,P077,C01261,Home & Kitchen,Core,Mobile App,New,2797.38,3894.01,4332.29,6.1,164,638617.64,179847.32,28.16,-10.12,-2.331,Maintain
T000152,2025-06-21,2025-06,P096,C04056,Sports,Core,Online,Price Sensitive,3390.68,5182.25,5742.8,7.5,41,212472.25,73454.37,34.57,-9.76,-2.205,Maintain
T000153,2025-11-18,2025-11,P014,C04099,Fashion,Value,Marketplace,Returning,1724.2,2408.37,2739.44,11.2,140,337171.8,95783.8,28.41,-12.09,-1.924,Maintain
